filename,label
train_image_10_23.411825_87.425675.png,1
train_image_11_22.599191_87.853358.png,0
train_image_12_23.656250_86.431971.png,0
train_image_13_23.248572_87.715239.png,1
train_image_14_23.371476_87.474357.png,-1
train_image_15_23.681768_86.747399.png,0
train_image_16_23.546122_87.216378.png,1
train_image_17_23.414583_87.378013.png,1
train_image_18_22.879777_87.900610.png,-1
train_image_19_23.563110_87.195223.png,-1
train_image_1_23.505800_87.256700.png,-1
train_image_20_23.712719_86.346052.png,0
train_image_21_23.177083_87.940550.png,1
train_image_22_22.733565_87.906250.png,0
train_image_23_23.683042_86.746124.png,0
train_image_24_23.456250_87.320868.png,1
train_image_25_22.469949_87.890782.png,0
train_image_26_22.799272_87.918750.png,0
train_image_27_23.727083_86.139021.png,-1
train_image_28_23.568750_87.139897.png,1
train_image_29_22.630602_87.815232.png,0
train_image_2_23.685417_86.828500.png,-1
train_image_30_23.322917_87.532776.png,1
train_image_31_23.447903_87.335430.png,1
train_image_32_22.579745_87.852083.png,0
train_image_33_23.680513_86.680513.png,0
train_image_34_22.741753_87.912586.png,0
train_image_35_23.629834_87.004834.png,1
train_image_36_23.714064_86.276564.png,0
train_image_37_23.620039_86.990872.png,1
train_image_38_22.684532_87.893750.png,0
train_image_39_23.485417_87.284296.png,-1
train_image_3_23.452083_87.329954.png,1
train_image_40_22.626776_87.819058.png,0
train_image_41_23.681250_86.841190.png,-1
train_image_42_23.642658_86.894842.png,-1
train_image_43_23.684813_86.831854.png,-1
train_image_44_23.381669_87.464164.png,1
train_image_45_23.519816_87.242684.png,-1
train_image_46_23.290064_87.564102.png,1
train_image_47_22.817826_87.911340.png,0
train_image_48_23.241991_87.633009.png,1
train_image_49_23.029946_87.968750.png,-1
train_image_4_23.239583_87.787893.png,-1
train_image_50_23.490908_87.275759.png,0
train_image_51_23.091745_87.997917.png,0
train_image_52_23.631929_86.540263.png,0
train_image_53_22.873406_87.894239.png,-1
train_image_54_23.060883_87.985417.png,0
train_image_55_23.633204_86.541537.png,0
train_image_56_23.121423_87.992256.png,-1
train_image_57_22.627083_87.868080.png,0
train_image_58_22.786583_87.922917.png,0
train_image_59_23.102556_87.997917.png,-1
train_image_5_23.710417_86.251046.png,0
train_image_60_23.610366_87.060468.png,1
train_image_6_23.485417_87.286098.png,0
train_image_7_22.978517_87.949350.png,0
train_image_8_22.959213_87.943750.png,-1
train_image_9_23.646822_86.559322.png,0
